,lat,lng,counts,duration,dur_per_user
0,55.655155181884766,37.75764846801758,229,39974,174
1,55.655540466308594,37.758636474609375,725,109433,150
2,55.65578079223633,37.75920104980469,418,59802,143
3,55.65694046020508,37.75919723510742,272,46924,172
4,55.65735626220703,37.75857925415039,972,181713,186
5,55.67280578613281,37.49541473388672,1890,165982,87
6,55.67281723022461,37.49541473388672,980,67346,68
7,55.70455551147461,37.61294174194336,490,41285,84
8,55.70621871948242,37.65497970581055,1464,83770,57
9,55.70634841918945,37.620208740234375,2645,121725,46
10,55.70649719238281,37.657352447509766,3238,199947,61
11,55.70661926269531,37.655189514160156,1237,45378,36
12,55.7066764831543,37.576904296875,1089,89004,81
13,55.70669937133789,37.60213851928711,427,43969,102
14,55.706783294677734,37.65787887573242,1920,95686,49
15,55.7067985534668,37.603355407714844,581,69303,119
16,55.70711135864258,37.601097106933594,289,12098,41
17,55.70713806152344,37.57781219482422,1186,103015,86
18,55.70721435546875,37.601051330566406,385,43548,113
19,55.7073860168457,37.576019287109375,1179,104597,88
20,55.707435607910156,37.657012939453125,2791,176951,63
21,55.70746994018555,37.60255813598633,564,45395,80
22,55.70747756958008,37.5768928527832,1169,119402,102
23,55.7075080871582,37.65927505493164,1651,68546,41
24,55.70751190185547,37.65927505493164,1453,74548,51
25,55.70756912231445,37.588809967041016,4419,369787,83
26,55.70782470703125,37.6292839050293,1378,109890,79
27,55.70783615112305,37.589229583740234,5763,619916,107
28,55.707950592041016,37.65727996826172,212,11037,52
29,55.70803451538086,37.61077117919922,975,80945,83
30,55.708194732666016,37.586700439453125,474,27012,56
31,55.70820236206055,37.586700439453125,817,83152,101
32,55.708255767822266,37.66081619262695,1184,41730,35
33,55.70825958251953,37.660858154296875,493,16793,34
34,55.7082633972168,37.59131622314453,1997,79687,39
35,55.708282470703125,37.59131622314453,1802,113182,62
36,55.70829772949219,37.606502532958984,466,23513,50
37,55.70833969116211,37.606597900390625,228,28639,125
38,55.70836639404297,37.659751892089844,1244,41621,33
39,55.7083740234375,37.658748626708984,2728,208814,76
